TEXT,LABEL,URL
hideous person,"[0, 1, 0, 0, 0, 0, 0]",http://en.wikipedia.org/w/index.php?diff=327211337&oldid=324465851
nasty person,"[0, 1, 0, 0, 0, 0, 0]",http://en.wikipedia.org/w/index.php?diff=327211337&oldid=324465851
ugly ,"[0, 1, 0, 0, 0, 0, 0]",http://en.wikipedia.org/w/index.php?diff=327211337&oldid=324465851
ugly individuals,"[0, 1, 0, 0, 0, 0, 0]",http://en.wikipedia.org/w/index.php?diff=327211337&oldid=324465851
ugly persons,"[0, 1, 0, 0, 0, 0, 0]",http://en.wikipedia.org/w/index.php?diff=327211337&oldid=324465851
SUCKS DADDY IS SO MUCH YOU shoud live THERE Conor Curry,"[0, 1, 0, 0, 0, 0, 0]",http://en.wikipedia.org/w/index.php?diff=328857917&oldid=328854218
SUCKS DADDY POSES SO MUCH BETTER YOU shoud live THERE Conor Curry,"[0, 1, 0, 0, 0, 0, 0]",http://en.wikipedia.org/w/index.php?diff=328857917&oldid=328854218
SUCKS PA IS SO MUCH BETTER YOU shoud live THERE Cari,"[0, 1, 0, 0, 0, 0, 0]",http://en.wikipedia.org/w/index.php?diff=328857917&oldid=328854218
SUCKS PA IS SO MUCH NICER YOU sould live THERE Conor Curry,"[0, 1, 0, 0, 0, 0, 0]",http://en.wikipedia.org/w/index.php?diff=328857917&oldid=328854218
SUCKS PA IS SO MUCHO BETTER YOU shoud live THERE Curry,"[0, 1, 0, 0, 0, 0, 0]",http://en.wikipedia.org/w/index.php?diff=328857917&oldid=328854218
most things cicadas song reallly do is have the penis in the vagina,"[0, 0, 1, 0, 0, 0, 0]",http://en.wikipedia.org/w/index.php?diff=328425582&oldid=328154506
the most things a cicadas song reallly do is have the dick in the vaginal,"[0, 0, 1, 0, 0, 0, 0]",http://en.wikipedia.org/w/index.php?diff=328425582&oldid=328154506
the most things a cicadas songs reallly do is have sex the penis the vulva,"[0, 0, 1, 0, 0, 0, 0]",http://en.wikipedia.org/w/index.php?diff=328425582&oldid=328154506
the most things a grasshoppers song reallly do is have sexuality the penis in vagina,"[0, 0, 1, 0, 0, 0, 0]",http://en.wikipedia.org/w/index.php?diff=328425582&oldid=328154506
the things a cicadas song reallly do is have sex the penis the genitalia,"[0, 0, 1, 0, 0, 0, 0]",http://en.wikipedia.org/w/index.php?diff=328425582&oldid=328154506
is fact a homosexual,"[0, 0, 0, 0, 1, 0, 0]",http://en.wikipedia.org/w/index.php?diff=329289815&oldid=329203172
is in a homosexual,"[0, 0, 0, 0, 1, 0, 0]",http://en.wikipedia.org/w/index.php?diff=329289815&oldid=329203172
is in fact a homo,"[0, 0, 0, 0, 1, 0, 0]",http://en.wikipedia.org/w/index.php?diff=329289815&oldid=329203172
is in fact a homosexuals,"[0, 0, 0, 0, 1, 0, 0]",http://en.wikipedia.org/w/index.php?diff=329289815&oldid=329203172
is in realities a homosexual,"[0, 0, 0, 0, 1, 0, 0]",http://en.wikipedia.org/w/index.php?diff=329289815&oldid=329203172
i gay,"[0, 0, 0, 0, 1, 0, 0]",http://en.wikipedia.org/w/index.php?diff=329085269&oldid=328657016
i m gays,"[0, 0, 0, 0, 1, 0, 0]",http://en.wikipedia.org/w/index.php?diff=329085269&oldid=328657016
i m homosexual,"[0, 0, 0, 0, 1, 0, 0]",http://en.wikipedia.org/w/index.php?diff=329085269&oldid=328657016
i m homosexuals,"[0, 0, 0, 0, 1, 0, 0]",http://en.wikipedia.org/w/index.php?diff=329085269&oldid=328657016
m gay,"[0, 0, 0, 0, 1, 0, 0]",http://en.wikipedia.org/w/index.php?diff=329085269&oldid=328657016
crap ,"[1, 0, 0, 0, 0, 0, 0]",http://en.wikipedia.org/w/index.php?diff=327353082&oldid=327352928
crap ends,"[1, 0, 0, 0, 0, 0, 0]",http://en.wikipedia.org/w/index.php?diff=327353082&oldid=327352928
crap terminates,"[1, 0, 0, 0, 0, 0, 0]",http://en.wikipedia.org/w/index.php?diff=327353082&oldid=327352928
end,"[0, 0, 0, 0, 0, 0, 0]",http://en.wikipedia.org/w/index.php?diff=327353082&oldid=327352928
shit end,"[1, 0, 0, 0, 0, 0, 0]",http://en.wikipedia.org/w/index.php?diff=327353082&oldid=327352928
Exists a Wanker,"[0, 1, 0, 0, 0, 0, 0]",http://en.wikipedia.org/w/index.php?diff=328210986&oldid=328210900
Is a Arsehole,"[0, 1, 0, 0, 0, 0, 0]",http://en.wikipedia.org/w/index.php?diff=328210986&oldid=328210900
